SequenceLength,PITName,PurificationName,ProcessStep,Duration_In_Mins
40,0,0,0,497
57,0,0,0,497
57,0,0,1,8
48,0,0,0,497
46,0,0,0,497
58,0,0,0,497
58,0,0,1,8
39,1,0,0,497
46,1,0,0,497
44,1,0,0,497
45,1,0,0,497
47,1,0,0,497
41,1,0,0,497
43,1,0,0,497
48,1,0,0,497
42,1,0,0,497
49,1,0,0,497
38,1,0,0,497
40,1,0,0,497
37,1,0,0,497
31,1,0,0,497
34,1,0,0,497
16,1,0,0,497
16,1,0,1,8
33,1,0,0,497
36,1,0,0,497
50,1,0,0,497
50,1,0,1,10
35,1,0,0,497
52,1,0,0,497
17,1,0,0,497
17,1,0,1,10
29,1,0,0,497
27,1,0,0,497
28,0,0,0,497
44,0,0,0,497
42,0,0,0,497
49,0,0,0,497
49,0,0,1,8
23,0,0,0,508
46,0,0,0,508
45,0,0,0,508
17,0,0,0,508
44,0,0,0,508
42,0,0,0,508
47,0,0,0,508
48,0,0,0,508
39,0,0,0,508
49,0,0,0,508
43,0,0,0,508
37,0,0,0,508
35,0,0,0,508
38,0,0,0,508
22,0,0,0,508
33,0,0,0,508
31,0,0,0,508
29,0,0,0,508
41,0,0,0,508
40,0,0,0,508
34,0,0,0,508
54,0,0,0,508
54,0,0,1,8
32,1,0,0,497
30,1,0,0,497
53,1,0,0,497
28,1,0,0,497
26,1,0,0,497
20,0,0,0,595
20,0,0,1,9
37,0,0,0,595
39,0,0,0,595
39,0,0,1,9
21,0,0,0,595
21,0,0,1,9
38,0,0,0,595
34,0,0,0,595
34,0,0,1,9
33,0,0,0,595
35,0,0,0,595
36,0,0,0,595
47,0,0,0,595
43,0,0,0,595
43,0,0,1,9
44,0,0,0,595
44,0,0,1,9
41,0,0,0,595
40,0,0,0,595
40,0,0,1,9
17,0,0,0,497
35,0,0,0,497
41,0,0,0,497
39,0,0,0,497
33,0,0,0,497
37,0,0,0,497
31,0,0,0,497
32,0,0,0,497
36,0,0,0,497
50,0,0,0,497
50,0,0,1,8
36,1,0,0,529
36,1,0,1,11
30,1,0,0,529
30,1,0,1,11
31,1,0,0,529
31,1,0,1,11
29,1,0,0,529
29,1,0,1,11
34,1,0,0,529
34,1,0,1,11
45,1,0,0,529
45,1,0,1,11
42,1,0,0,529
42,1,0,1,11
35,1,0,0,529
35,1,0,1,11
47,1,0,0,529
47,1,0,1,11
32,1,0,0,529
32,1,0,1,11
28,1,0,0,529
28,1,0,1,11
34,2,0,0,508
39,2,0,0,508
32,2,0,0,508
45,2,0,0,508
38,2,0,0,508
33,2,0,0,508
37,2,0,0,508
44,2,0,0,508
35,2,0,0,508
41,2,0,0,508
36,2,0,0,508
43,2,0,0,508
47,2,0,0,508
42,2,0,0,508
25,2,0,0,508
25,2,0,1,9
40,2,0,0,508
28,2,0,0,508
23,2,0,0,508
27,2,0,0,508
27,2,0,1,7
31,2,0,0,508
19,2,0,0,508
48,2,0,0,508
46,2,0,0,508
26,2,0,0,508
26,2,0,1,7
30,2,0,0,508
41,1,0,0,529
41,1,0,1,11
40,1,0,0,529
40,1,0,1,11
37,1,0,0,529
37,1,0,1,11
44,1,0,0,529
44,1,0,1,11
43,1,0,0,529
43,1,0,1,11
38,1,0,0,529
38,1,0,1,11
46,1,0,0,529
46,1,0,1,11
33,1,0,0,529
33,1,0,1,11
39,1,0,0,529
39,1,0,1,11
48,1,0,0,529
48,1,0,1,11
50,1,0,0,529
50,1,0,1,11
46,1,0,0,620
46,1,0,2,25
36,1,0,0,620
36,1,0,2,25
44,1,0,0,620
44,1,0,2,25
43,1,0,0,620
43,1,0,2,25
41,1,0,0,620
41,1,0,2,25
38,1,0,0,620
38,1,0,2,25
33,1,0,0,620
33,1,0,2,25
